File Name,Idx Repetition,Nb. UFuses,Nb. Configurations,Nb. Valid Conf.
realcase-Sub1.json,0,4,16,12
realcase-Sub1.json,0,5,32,12
realcase-Sub1.json,0,6,64,8
realcase-Sub1.json,0,7,128,24
realcase-Sub1.json,0,8,256,18
realcase-Sub1.json,0,9,512,27
realcase-Sub1.json,0,10,1024,48
realcase-Sub1.json,0,11,2048,36
realcase-Sub1.json,0,12,4096,12
realcase-Sub1.json,0,13,8192,24
realcase-Sub1.json,0,14,16384,96
realcase-Sub1.json,0,15,32768,120
realcase-Sub1.json,0,16,65536,54
realcase-Sub1.json,0,17,131072,160
realcase-Sub1.json,0,18,262144,144
realcase-Sub1.json,0,19,524288,240
realcase-Sub1.json,0,20,1048576,216
realcase-Sub1.json,0,21,2097152,192
realcase-Sub1.json,0,22,4194304,180
realcase-Sub1.json,0,23,8388608,576
realcase-Sub1.json,0,24,16777216,450
realcase-Sub1.json,0,25,33554432,480
realcase-Sub1.json,0,26,67108864,360
realcase-Sub1.json,0,27,134217728,720
realcase-Sub1.json,0,28,268435456,864
realcase-Sub1.json,0,29,536870912,900
realcase-Sub1.json,0,30,1073741824,1080
realcase-Sub1.json,1,0,1,1
realcase-Sub1.json,1,1,2,2
realcase-Sub1.json,1,2,4,1
realcase-Sub1.json,1,3,8,2
realcase-Sub1.json,1,4,16,2
realcase-Sub1.json,1,5,32,9
realcase-Sub1.json,1,6,64,24
realcase-Sub1.json,1,7,128,16
realcase-Sub1.json,1,8,256,12
realcase-Sub1.json,1,9,512,18
realcase-Sub1.json,1,10,1024,16
realcase-Sub1.json,1,11,2048,6
realcase-Sub1.json,1,12,4096,18
realcase-Sub1.json,1,13,8192,36
realcase-Sub1.json,1,14,16384,72
realcase-Sub1.json,1,15,32768,80
realcase-Sub1.json,1,16,65536,96
realcase-Sub1.json,1,17,131072,54
realcase-Sub1.json,1,18,262144,160
realcase-Sub1.json,1,19,524288,81
realcase-Sub1.json,1,20,1048576,108
realcase-Sub1.json,1,21,2097152,720
realcase-Sub1.json,1,22,4194304,360
realcase-Sub1.json,1,23,8388608,400
realcase-Sub1.json,1,24,16777216,320
realcase-Sub1.json,1,25,33554432,480
realcase-Sub1.json,1,26,67108864,576
realcase-Sub1.json,1,27,134217728,1080
realcase-Sub1.json,1,28,268435456,720
realcase-Sub1.json,1,29,536870912,720
realcase-Sub1.json,1,30,1073741824,1080
realcase-Sub1.json,2,0,1,1
realcase-Sub1.json,2,1,2,1
realcase-Sub1.json,2,2,4,4
realcase-Sub1.json,2,3,8,3
realcase-Sub1.json,2,4,16,10
realcase-Sub1.json,2,5,32,2
realcase-Sub1.json,2,6,64,12
realcase-Sub1.json,2,7,128,4
realcase-Sub1.json,2,8,256,15
realcase-Sub1.json,2,9,512,27
realcase-Sub1.json,2,10,1024,24
realcase-Sub1.json,2,11,2048,72
realcase-Sub1.json,2,12,4096,20
realcase-Sub1.json,2,13,8192,18
realcase-Sub1.json,2,14,16384,24
realcase-Sub1.json,2,15,32768,20
realcase-Sub1.json,2,16,65536,225
realcase-Sub1.json,2,17,131072,240
realcase-Sub1.json,2,18,262144,150
realcase-Sub1.json,2,19,524288,450
realcase-Sub1.json,2,20,1048576,216
realcase-Sub1.json,2,21,2097152,288
realcase-Sub1.json,2,22,4194304,400
realcase-Sub1.json,2,23,8388608,256
realcase-Sub1.json,2,24,16777216,360
realcase-Sub1.json,2,25,33554432,324
realcase-Sub1.json,2,26,67108864,480
